Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"Tours, Outdoor Activities, Boat Tours & Water Sports",,https://www.tripadvisor.com/Attraction_Review-g34947-d3529837-Reviews-New_Wave_Cable_Park-Flowery_Branch_Georgia.html,"We are a wake boarding facility on lake Lanier, in Flowery Branch, Ga. Located 35 minutes from Atlanta, we are metro Atlanta's only cable park. We offer a full line of rental gear including all necessary saftey equipment. Whether its your first time wake boarding or if you are looking to land your first double roll, we are the place for you. With Our knowledgeable and friendly staff we do our best to ensure everyone has a good time. We invite people of all ages to come enjoy the lake, and the great sport of wake boarding.",#7 of 7 things to do in Flowery Branch,New Wave Cable Park,,,"Flowery Branch,Flowery Branch","GA,GA","6800 Lights Ferry Road,6800 Lights Ferry Road",770-885-5581,"30519,30519",,,will@newwavecablepark.com,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g34947-d5845144-Reviews-Bottom_of_the_CUP_indoor_Golf_BAR_Grill-Flowery_Branch_Georgia.html,,#6 of 7 things to do in Flowery Branch,Bottom of the CUP indoor Golf BAR & Grill,4 ,,Flowery Branch,GA,7435 Spout Springs Road,(770) 965-0315,30542,,"Fri - Sat 10:00 am - 2:00 am , Sun - Thu 11:00 am - 1:00 am , ",,3
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g34677-d5918728-Reviews-LATIN_CITY_SPOR_BAR-Tamarac_Florida.html,,#6 of 6 things to do in Tamarac,LATIN CITY SPOR BAR,,,"Tamarac,Tamarac","FL,FL","5305 N 7 STATE RD (441),5305 N 7 STATE RD (441)",(954)588-84 57,"33319,33319",,"Sun 6:00 am - 5:00 pm , Thu - Sat 6:00 pm - 2:00 am , ",,
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g34677-d6867144-Reviews-Woodmont_Golf_and_Tennis_Club-Tamarac_Florida.html,,#5 of 6 things to do in Tamarac,Woodmont Golf and Tennis Club,7 ,,Tamarac,FL,7801 NW 80 Ave,954-722-4300,33321,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g34699-d5832318-Reviews-Nelson_s_Gator_Hole-Umatilla_Lake_County_Florida.html,,#6 of 6 things to do in Umatilla,Nelson's Gator Hole,2 ,,Umatilla,FL,19400 SE HWY 42,352-821-3474,32784,,,,1
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g34829-d10213296-Reviews-H_Massage-Chamblee_Georgia.html,,#7 of 7 things to do in Chamblee,H-Massage,,,"Chamblee,Chamblee","GA,GA","4849 Buford Hwy,4849 Buford Hwy",6783811552,"30341,30341",,,,
,,"Farms, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g34378-d560955-Reviews-Palm_Beach_Groves-Lantana_Florida.html,,#7 of 7 things to do in Lantana,Palm Beach Groves,,,"Lantana,Lantana","FL,FL","112 N Oak Str Suite 106,112 N Oak Str Suite 106",561-588-4208,"33462,33462",,,info@pbgroves.com,
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g34699-d251380-Reviews-Amazing_Exotics-Umatilla_Lake_County_Florida.html,**CLOSED for renovations/relocation** A nonprofit educational facility caring for a variety of exotic animals like monkeys and big cats.,#4 of 6 things to do in Umatilla,Amazing Exotics,3 ,,Umatilla,FL,State Route 452,352-821-1234,,,,,0
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g34317-d3734108-Reviews-Town_Square_Nature_Park-Indian_Shores_Florida.html,,#5 of 7 things to do in Indian Shores,Town Square Nature Park,22 ,,Indian Shores,FL,Gulf Boulevard & 191 Street,,,,,,5
,,"Horseback Riding Tours, Ranches, Outdoor Activities, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g34699-d4132993-Reviews-Happy_Acres_Horseback_Ranch-Umatilla_Lake_County_Florida.html,,#5 of 6 things to do in Umatilla,Happy Acres Horseback Ranch,1 ,,Umatilla,FL,22332 Live Oaks Ranch Road,,,,,,0
,,"Symphonies, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g34338-d606272-Reviews-Miami_Chamber_Symphony-Kendall_Florida.html,,#7 of 7 things to do in Kendall,Miami Chamber Symphony,,,"Kendall,Kendall","FL,FL","5690 N Kendall Drive,5690 N Kendall Drive",,,,,,
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g34334-d8121806-Reviews-Bert_Winters_Park-Juno_Beach_Florida.html,,#7 of 7 things to do in Juno Beach,Bert Winters Park,3 ,,Juno Beach,FL,13425 Ellison Wilson Road,,33408,,,,1
,,"Lessons & Workshops, Scuba & Snorkeling, Tours, Outdoor Activities, Classes & Workshops, Boat Tours & Water Sports",,https://www.tripadvisor.com/Attraction_Review-g34334-d7679310-Reviews-Dave_s_Scuba_Connection-Juno_Beach_Florida.html,"Dave is a PADI Certified and Insured Master Instructor and an SDI/TDI Scuba Instructor offering personalized guide trips and dive training from Discover Scuba Diving through DiveMaster (Professional Diver) and/or Master Scuba Diver (Non-Professional Diver). Dave is also certified to teach thirty PADI and/or SDI/TDI Specialty courses, as well as four Emergency Care and Safety courses.,Dave works as an independent scuba instructor and has the flexibility to dive with any of the local dive shops in southeast Florida. Customer preference, weather, space availability, and the Scuba class or Specialty course selected will oftentimes determine which local dive operation to use to complete your training.,Small class size. Personalized service. The flexibility to dive with who and when you want. Expand your horizons. Dive with Dave.",#5 of 7 things to do in Juno Beach,Dave's Scuba Connection,1 ,,Juno Beach,FL,Juno Ocean Walk,+1 970-759-4310,33408,,"Sun - Sat 7:00 am - 7:00 pm , ",Dave@DavesScubaConnection.com,0
,,"Fishing Charters & Tours, Outdoor Activities, Boat Tours & Water Sports, Tours",,https://www.tripadvisor.com/Attraction_Review-g34334-d7153505-Reviews-Freight_Train_Fishing-Juno_Beach_Florida.html,"Fishing charters for Northern Palm Beach County. Capt. Eric Gates is a USCG licensed captain with over 20 years on the water experience in Palm Beach County. From inshore fishing for snook, tarpon, and jacks to offshore for sailfish, dolphin, snapper, wahoo, or sharks we have a fishing trip to fit your crew.",#6 of 7 things to do in Juno Beach,Freight Train Fishing,1 ,,Juno Beach,FL,12212 US Hwy 1,+(1)5615783941,33408,,,ejg311@gmail.com,0
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g34334-d7279527-Reviews-Juno_Dunes_Natural_Area-Juno_Beach_Florida.html,,#4 of 7 things to do in Juno Beach,Juno Dunes Natural Area,4 ,,Juno Beach,FL,14501 U.S. Highway 1,,33408,,,,0
,,"Beaches, Nature & Wildlife Areas, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g34334-d1492153-Reviews-Loggerhead_Marinelife_Center-Juno_Beach_Florida.html,"This is a great seaturtle conservation organization. They have a turtle hospital and small education center. The most notable thing with this organization is the during seaturtle nesting season (May - August), they take you on guided walk to watch the turtles up close.",#1 of 7 things to do in Juno Beach,Loggerhead Marinelife Center,566 ,,Juno Beach,FL,14200 US Hwy. One,561-627-8280,33408,,,,9
,,"Piers & Boardwalks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g34334-d3459894-Reviews-Juno_Beach_Pier-Juno_Beach_Florida.html,,#2 of 7 things to do in Juno Beach,Juno Beach Pier,144 ,,Juno Beach,FL,A1A,,,,,,9
,,"Beaches, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g34334-d6913520-Reviews-Juno_Beach_Park-Juno_Beach_Florida.html,,#3 of 7 things to do in Juno Beach,Juno Beach Park,55 ,,Juno Beach,FL,14775 U.S. Highway 1,+1 561-966-6600,33408,,,,3
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g40143-d109477-Reviews-Marc_Savoy_s_Music_Shop-Eunice_Louisiana.html,This accordion makers music shop hosts a jam session every weekend where the best Cajun Country musicians play. ,#6 of 7 things to do in Eunice,Marc Savoy's Music Shop,5 ,,Eunice,LA,A Mile Or So East of Eunice on US 190,,,,"Tue - Sat 9:00 am - 12:00 pm , Tue - Fri 1:30 pm - 5:00 pm , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g39879-d5841689-Reviews-Branding_Iron-Springfield_Kentucky.html,,#6 of 7 things to do in Springfield,Branding Iron,,,"Springfield,Springfield","KY,KY","315 Lebanon Hill Road,315 Lebanon Hill Road",(859) 336-3200,"40069,40069",,"Mon - Sat 10:00 am - 12:00 am , ",,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g40143-d5830934-Reviews-Cruisers_Tavern-Eunice_Louisiana.html,,#7 of 7 things to do in Eunice,Cruisers Tavern,,,"Eunice,Eunice","LA,LA","4776 HWY 190,4776 HWY 190",337-457-9290,"70535,70535",,,,
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g40073-d7011382-Reviews-Rejuv_Spa_Barber_Shop-Chalmette_Louisiana.html,,#7 of 7 things to do in Chalmette,Rejuv Spa & Barber Shop,,,"Chalmette,Chalmette","LA,LA","1001 West Judge Perez Drive,1001 West Judge Perez Drive",(504) 442-5767,"70043,70043",,,,
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g39879-d4097372-Reviews-Ooh_La_La_Boutique-Springfield_Kentucky.html,,#7 of 7 things to do in Springfield,Ooh La La Boutique,,,"Springfield,Springfield","KY,KY","130 West Main Street,130 West Main Street",18594814023,,,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g40073-d5846937-Reviews-The_Drunken_Monkey-Chalmette_Louisiana.html,,#5 of 7 things to do in Chalmette,The Drunken Monkey,1 ,,Chalmette,LA,308 E. Judge Perez Dr,504.609-2237,70043,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g40073-d5836270-Reviews-The_Remix-Chalmette_Louisiana.html,,#6 of 7 things to do in Chalmette,The Remix,1 ,,Chalmette,LA,103 W St Bernard Hwy,504-277-1179,70043,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g40073-d5831501-Reviews-Wimpy_s-Chalmette_Louisiana.html,,#2 of 7 things to do in Chalmette,Wimpy's,2 ,,Chalmette,LA,800 E. Judge Perez Drive,504-304-8384,70043,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g39748-d6197964-Reviews-Champs_Sports_Bar_and_Grill-Pikeville_Kentucky.html,,#7 of 7 things to do in Pikeville,Champs Sports Bar and Grill,,,"Pikeville,Pikeville","KY,KY","121 Main Street,121 Main Street",606-432-1446,"41501,41501",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g39676-d5841724-Reviews-Moltons-Morehead_Kentucky.html,,#7 of 7 things to do in Morehead,Moltons,,,"Morehead,Morehead","KY,KY","Hecks Plaza,Hecks Plaza",(606) 783-7280,"40351,40351",,,,
,,"Equestrian Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g39748-d10303188-Reviews-Dreamz_Stables-Pikeville_Kentucky.html,,#6 of 7 things to do in Pikeville,Dreamz Stables,,,"Pikeville,Pikeville","KY,KY","831 hambley Blv,831 hambley Blv",18008447453,,,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g39577-d4115312-Reviews-WhiteMoon_Winery-Lebanon_Kentucky.html,"New winery, No web page yet. 6 different wines, all very good, and all from local grapes. Near Makers Mark so folks can easily visit both.",#3 of 7 things to do in Lebanon,WhiteMoon Winery,23 ,,Lebanon,KY,25 Arthur Mattingly Road,(270) 865-4564,40033,,"Sun 1:00 pm - 5:00 pm , Mon - Sat 11:00 am - 5:00 pm , ",WhiteMoonWinery@yahoo.com,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g39577-d5833541-Reviews-Poor_Boys_Bar-Lebanon_Kentucky.html,,#6 of 7 things to do in Lebanon,Poor Boys Bar,1 ,,Lebanon,KY,5350 Campbellsville Rd,(270) 699-2305,40033,,"Sat 8:00 am - 1:00 am , Mon - Fri 8:00 am - 8:00 pm , ",,1
,,"Factory Tours, Tours",,https://www.tripadvisor.com/Attraction_Review-g39577-d2331244-Reviews-Independent_Stave_Company_Kentucky_Cooperage-Lebanon_Kentucky.html,,#2 of 7 things to do in Lebanon,Independent Stave Company - Kentucky Cooperage,53 ,,Lebanon,KY,712 Danville Highway,(270) 692-4674,40033-1700,,,,2
,,"Gift & Specialty Shops, Antique Stores, Shopping",,https://www.tripadvisor.com/Attraction_Review-g42445-d8464496-Reviews-Maple_Street_Mall-Mason_Ingham_County_Michigan.html,,#6 of 7 things to do in Mason,Maple Street Mall,2 ,,Mason,MI,108 W Maple St,1 (517) 244-9444,48854,,,info@maplestreetmall.com,0
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g42381-d8518346-Reviews-Good_Harbor_Vineyards-Lake_Leelanau_Leelanau_County_Michigan.html,,#7 of 7 things to do in Lake Leelanau,Good Harbor Vineyards,3 ,,Lake Leelanau,MI,34 S. Manitou Trail,231-256-7165,49653,,,winery@goodharbor.com,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g42426-d5832080-Reviews-The_North_Bar_Red_Lounge-Madison_Heights_Michigan.html,,#7 of 7 things to do in Madison Heights,The North Bar/Red Lounge,,,"Madison Heights,Madison Heights,Madison Heights,Madison Heights","MI,MI,MI,MI","350 E. 14 Mile,29028 Campbell Road,31660 John R,350 E. 14 Mile",248-585-3665,"48071,48071,48071,48071",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g42342-d5842519-Reviews-Olde_Suffolk_Ale_House-Ironwood_Upper_Peninsula_Michigan.html,,#6 of 7 things to do in Ironwood,Olde Suffolk Ale House,2 ,,Ironwood,MI,125 South Suffolk Street,(906) 932-3198,49938,,,,0
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g42372-d7141049-Reviews-Bishop_Baraga_Shrine-L_Anse_Upper_Peninsula_Michigan.html,,#1 of 7 things to do in L'Anse,Bishop Baraga Shrine,12 ,,L'Anse,MI,17570 US Hwy 41,(906) 524-7021,49801,,,,2
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g42257-d4513413-Reviews-3777_Arron_Sw_Grandville_Mi-Grandville_Ottawa_County_Michigan.html,,#7 of 7 things to do in Grandville,3777 Arron Sw Grandville Mi,,,"Grandville,Grandville","MI,MI","3777 Arron sw,3777 Arron sw",,,,,,
,,"Breweries, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g42328-d3693709-Reviews-White_Flame_Brewing_Company-Hudsonville_Ottawa_County_Michigan.html,,#1 of 7 things to do in Hudsonville,White Flame Brewing Company,23 ,,Hudsonville,MI,5234 36th Ave.,616-209-5098,,,"Fri 4:00 pm - 12:00 am , Sat 12:00 pm - 12:00 am , Sun - Thu 4:00 pm - 10:00 pm , ",,8
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g42026-d5846357-Reviews-McCoy_Creek_Tavern-Buchanan_Berrien_County_Michigan.html,,#6 of 7 things to do in Buchanan,McCoy Creek Tavern,1 ,,Buchanan,MI,215 E. Front Street,(269) 695-2233,49107,,,,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g41975-d2204003-Reviews-The_Marine_Museum-Beaver_Island_Charlevoix_County_Michigan.html,,#7 of 7 things to do in Beaver Island,The Marine Museum,9 ,,Beaver Island,MI,26275 Main Street,(616) 448-2254,49782,,,,1
,,Spas & Wellness,,https://www.tripadvisor.com/Attraction_Review-g42026-d4470252-Reviews-Pure_Rituals-Buchanan_Berrien_County_Michigan.html,,#7 of 7 things to do in Buchanan,Pure Rituals,1 ,,Buchanan,MI,108 East Front Street,12696975414,,,"Fri 8:00 am - 5:00 pm , Thu 9:00 am - 8:00 pm , Sat 8:00 am - 3:00 pm , Tue 9:00 am - 8:00 pm , Wed 9:00 am - 7:00 pm , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g41962-d5846429-Reviews-Side_Track_Bar-Baraga_Upper_Peninsula_Michigan.html,,#7 of 7 things to do in Baraga,Side Track Bar,,,"Baraga,Baraga","MI,MI","111 S Superior Ave,111 S Superior Ave",+1 (906) 353-6777,"49908,49908",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g42293-d5833507-Reviews-The_Mayfair_Bar-Haslett_Ingham_County_Michigan.html,,#7 of 7 things to do in Haslett,The Mayfair Bar,,,"Haslett,Haslett","MI,MI","1525 Lake Lansing Road,1525 Lake Lansing Road",517 339 3880,"48840,48840",,"Sun 12:00 pm - 2:00 am , Sat 11:00 am - 2:00 am , Mon - Fri 10:30 am - 2:00 am , ",,
,,,,https://www.tripadvisor.com/Attraction_Review-g46285-d1099612-Reviews-A_La_Carte-Barnegat_Light_Long_Beach_Island_New_Jersey.html,,#7 of 7 things to do in Barnegat Light,A La Carte,4 ,,Barnegat Light,NJ,16 W 19th,(609) 361-7785,08005 ,,,,0
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g46255-d949465-Reviews-Yankee_Farmer_s_Market-Warner_New_Hampshire.html,,#6 of 7 things to do in Warner,Yankee Farmer's Market,2 ,,Warner,NH,360 Route 103,603-456-2833,,,"Thu - Fri 10:00 am - 5:00 pm , Mon - Tue 10:00 am - 5:00 pm , Sat - Sun 9:00 am - 4:00 pm , ",,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g46218-d6033341-Reviews-The_Cloud_Palace-Salem_New_Hampshire.html,,#6 of 7 things to do in Salem,The Cloud Palace,5 ,,Salem,NH,2 Range Road,603 458 2926,03079,,"Sun 6:00 pm - 12:30 am , Mon - Tue 6:00 pm - 12:00 am , Wed - Fri 6:00 pm - 1:00 am , Sat 6:00 pm - 12:00 am , ",,0
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g46255-d208065-Reviews-Jennifer_Mitchell_JemGlass_Studio-Warner_New_Hampshire.html,,#7 of 7 things to do in Warner,Jennifer Mitchell / JemGlass Studio,,,"Warner,Warner","NH,NH","23 Highlawn Rd,23 Highlawn Rd",603-502-2407,"03801,03801",,,glassmobiles@tds.net,
,,"Ski & Snow Tours, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g46204-d6418145-Reviews-Northern_NH_Snowmobile_Tours-Pittsburg_New_Hampshire.html,"Northern NH Snowmobile Tours & Rentals is based on the belief that our customers' needs are of the utmost importance. Our entire team is committed to meeting those needs. As a result, a high percentage of our business is from repeat customers and referrals. ,We would welcome the opportunity to earn your trust and deliver you the best service in the industry. ,                    ",#7 of 7 things to do in Pittsburg,Northern NH Snowmobile Tours,11 ,,Pittsburg,NH,89 Crawford Rd,+(1)603-538-7100,03592,,,northernnhsnowmobiletours@gmail.com,0
,,"Lessons & Workshops, Classes & Workshops",,https://www.tripadvisor.com/Attraction_Review-g46122-d7269251-Reviews-Owl_Brook_Hunter_Enducation_Center-Holderness_New_Hampshire.html,,#6 of 6 things to do in Holderness,Owl Brook Hunter Enducation Center,1 ,,Holderness,NH,387 Perch Pond Road,(603) 536-1290,03245,,,,0
